time,acceleration
1.0,0.25
2.0,0.25
3.0,0.25
4.0,0.25
5.0,0.25
6.0,0.25
7.0,0.25
8.0,0.25
9.0,0.25
10.0,0.25
11.0,0.25
12.0,0.25
13.0,0.25
14.0,0.25
15.0,0.25
16.0,0.25
17.0,0.25
18.0,0.25
19.0,0.25
20.0,0.25
21.0,0.25
22.0,0.25
23.0,0.25
24.0,0.0
25.0,-0.25
26.0,-0.25
27.0,-0.25
28.0,-0.25
29.0,-0.25
30.0,-0.25
31.0,-0.25
32.0,-0.25
33.0,-0.25
34.0,-0.25
35.0,-0.25
36.0,-0.25
37.0,-0.25
38.0,-0.25
39.0,-0.25
40.0,-0.25
41.0,-0.25
42.0,-0.25
43.0,-0.25
44.0,-0.25
45.0,-0.25
46.0,-0.25
47.0,-0.25
48.0,-0.25
49.0,-0.25
50.0,-0.25
